(2782631610,-38192890), (291363088,NaN), (287385373,NaN), (272817211,-10203028), 
(2876817996,-39280101), (291995088,NaN), (285313842,NaN), (272615754,-10193133), 
(2550960242,-36185671), (293268041,NaN), (286150054,NaN), (273065594,-10198622), 
(2846802220,-39135033), (293626493,NaN), (288745359,NaN), (273838884,-10211809), 
(2845478238,-38924077), (292706087,NaN), (287012413,NaN), (272881685,-10198022), 
(1985820399,-32668160), (273289880,-10194420), (273985256,-10203659), (270001135,-10189113), 
(2376091537,-36475741), (274173223,-10218815), (274425373,-10217165), (270021082,-10189195), 
(1878685304,-31629869), (273206881,-10194114), (273933584,-10206237), (270025995,-10190023), 
(2182259437,-34576963), (273665044,-10204841), (274553919,-10213607), (269994463,-10191333), 
(2095480327,-33754484), (273035268,-10188040), (273749305,-10206392), (269866743,-10187123), 
(2558919320,-37665849), (296450211,NaN), (283805089,NaN), (274357087,-10208440), 
(2423965580,-36441585), (291055429,NaN), (283424047,NaN), (273279515,-10203239), 
(2821520731,-39945137), (285734155,NaN), (282443752,NaN), (271479555,-10196279), 
(2566579386,-37821508), (284858033,-10257754), (280062901,-10226974), (271058897,-10194713), 
(2707215779,-39021588), (287137412,NaN), (281355935,NaN), (272111298,-10201909), 
(5185589235,-58201284), (272472093,-10195246), (273588824,-10202200), (270004932,-10192870), 
(5150338849,-57972462), (272343748,-10193839), (273238145,-10194602), (269776715,-10188566), 
(5042463180,-57252231), (273035878,-10195474), (273721631,-10202011), (270077769,-10193563), 
(4929821492,-56490293), (274076352,-10209291), (274543278,-10215697), (270035314,-10189965), 
(4988415440,-56882573), (273387834,-10203315), (274221000,-10210049), (269814641,-10187584), 
(3202693835,-43659673), (282202789,NaN), (275116710,-10208315), (272188785,-10192345), 
(3567472306,-46573768), (275524179,-10208848), (277184467,-10215813), (272004372,-10201025), 
(3148919839,-43235892), (274352625,-10205214), (283564870,-10249927), (271500669,-10194474), 
(3263553095,-44113871), (278922361,-10230394), (276401534,-10222366), (271585090,-10198366), 
(3355017757,-44912540), (274565126,-10202015), (279902298,-10229589), (271744674,-10198164), 
